TIME,OPERATION,LAST NAME,FIRST NAME,RESULT
2014-01-11 06:15,New Entry,Penix, Janice,2014-01-11 03:31 -- Theft; 2014-01-11 04:28 -- Vandalism; 2014-01-11 04:38 -- Drunk Driving; 
2014-01-11 22:14,New Entry,Weaver, Gina,2014-01-11 08:49 -- Shoplifting; 2014-01-11 10:29 -- Theft; 
2014-01-11 00:30,Search,Brown, Brandi,No record found.
2014-01-11 11:36,Search,Jackson, Katharine,No record found.
#######,,,,
2014-01-12 03:25,New Entry,Bachelder, Virginia,2014-01-12 00:53 -- Grand Theft Auto; 2014-01-12 02:06 -- Arson; 
2014-01-12 15:55,New Entry,Miller, Pauline,2014-01-12 03:09 -- Grand Theft Auto; 2014-01-12 07:31 -- Assault; 2014-01-12 14:33 -- Drunk Driving; 
2014-01-12 16:34,New Entry,Alexander, Elwood,2014-01-12 06:42 -- Identity Theft; 2014-01-12 15:03 -- Drunk Driving; 
2014-01-12 08:44,Record Deleted,Canfield, Earl,1988-04-08 04:44 -- Breaking and Entering; 1988-09-01 23:37 -- Arson; 2011-04-13 09:07 -- Tax Evasion; 
2014-01-12 08:49,Search,Gatson, Adell,No record found.
2014-01-12 10:48,Search,Parker, John,No record found.
2014-01-12 13:58,Record Updated,Edwards, Arturo,2014-01-12 13:58 -- Intent to Distribute
2014-01-12 16:17,Search,Cox, William,No record found.
2014-01-12 16:49,Search,Bryant, Joseph,No record found.
2014-01-12 19:15,Search,Lombardi, Tiffany,No record found.
2014-01-12 19:48,Search,Williams, Eleni,No record found.
2014-01-12 22:35,Search,Bell, Travis,No record found.
2014-01-12 23:06,Search,Lenk, Carol,1986-08-03 07:31 -- Identity Theft; 1995-06-05 20:12 -- Theft; 1995-12-16 15:31 -- Assault; 2001-06-25 05:22 -- Breaking and Entering; 
#######,,,,
2014-01-13 12:57,New Entry,Potts, Don,2014-01-13 04:37 -- Vandalism; 2014-01-13 10:53 -- Intent to Distribute; 2014-01-13 11:50 -- Identity Theft; 
2014-01-13 06:44,Record Deleted,Climer, Alisa,2013-07-25 01:59 -- Arson; 
2014-01-13 08:55,Search,Bartholomew, Janice,No record found.
2014-01-13 15:51,Record Updated,Jacobs, Jacqueline,2014-01-13 15:51 -- Drunk Driving
2014-01-13 18:12,Record Deleted,Williams, Eric,1976-04-13 20:38 -- Vandalism; 2002-02-14 23:23 -- Tax Evasion; 2005-10-29 22:28 -- Tax Evasion; 2013-05-14 00:55 -- Assault; 
#######,,,,
2014-01-14 10:24,New Entry,Holloman, Andrew,2014-01-14 07:06 -- Breaking and Entering; 
2014-01-14 18:00,New Entry,Gallagher, Henry,2014-01-14 08:01 -- Possession; 2014-01-14 11:26 -- Vandalism; 
2014-01-14 00:20,Search,Lindsay, Mary,No record found.
2014-01-14 01:54,Search,Coleman, Buck,No record found.
2014-01-14 14:12,Search,Crosby, Jack,No record found.
2014-01-14 14:15,Search,Mix, Jeanette,No record found.
2014-01-14 17:45,Search,Hudson, Nicholas,No record found.
2014-01-14 23:02,Search,Morris, Brittany,No record found.
#######,,,,
2014-01-15 00:39,New Entry,Moore, Leland,2014-01-15 00:11 -- Tax Evasion; 2014-01-15 00:16 -- Vandalism; 
2014-01-15 12:23,New Entry,Tewksbury, Todd,2014-01-15 01:06 -- Theft; 2014-01-15 04:05 -- Money Laundering; 2014-01-15 04:36 -- Breaking and Entering; 
2014-01-15 06:31,Search,Curran, Don,No record found.
2014-01-15 08:12,Search,Hudak, Stuart,No record found.
2014-01-15 23:25,Search,Clatterbuck, Mabel,No record found.
#######,,,,
2014-01-16 19:54,New Entry,Rodriguez, Susan,2014-01-16 06:31 -- Theft; 
2014-01-16 01:51,Search,Warford, Susan,No record found.
2014-01-16 08:16,Search,Newsom, Jeffery,No record found.
2014-01-16 21:38,Search,Faison, Joseph,No record found.
#######,,,,
2014-01-17 04:02,New Entry,Emery, Eugene,2014-01-17 01:50 -- Vandalism; 2014-01-17 02:48 -- Money Laundering; 
2014-01-17 11:32,New Entry,Cohen, Raymond,2014-01-17 07:49 -- Assault; 2014-01-17 10:32 -- Identity Theft; 
2014-01-17 20:03,New Entry,Mosley, Preston,2014-01-17 04:52 -- Assault; 2014-01-17 12:11 -- Tax Evasion; 2014-01-17 17:28 -- Breaking and Entering; 
2014-01-17 03:03,Search,Waters, Christopher,1980-05-15 22:34 -- Drunk Driving; 1981-03-22 07:41 -- Grand Theft Auto; 1983-08-27 01:56 -- Assault; 1990-11-13 19:51 -- Money Laundering; 2001-09-05 10:44 -- Grand Theft Auto; 
2014-01-17 03:13,Search,Proctor, Ruby,2003-04-01 02:21 -- Identity Theft; 
2014-01-17 03:46,Search,Robertson, Gina,No record found.
2014-01-17 15:37,Search,Diaz, Leo,No record found.
#######,,,,
2014-01-18 00:31,New Entry,Belvin, Irene,2014-01-18 00:22 -- Intent to Distribute; 2014-01-18 00:23 -- Shoplifting; 2014-01-18 00:28 -- Breaking and Entering; 
2014-01-18 09:50,New Entry,Hood, Graham,2014-01-18 02:04 -- Assault; 2014-01-18 03:41 -- Arson; 
2014-01-18 10:14,New Entry,Putnam, Michael,2014-01-18 02:13 -- Possession; 2014-01-18 04:13 -- Arson; 2014-01-18 06:24 -- Identity Theft; 
2014-01-18 12:19,Search,Lane, Sarah,No record found.
2014-01-18 20:46,Search,Lombard, David,No record found.
#######,,,,
2014-01-19 10:38,New Entry,Santamaria, Erica,2014-01-19 08:48 -- Theft; 
2014-01-19 23:30,New Entry,Ponds, Sandy,2014-01-19 22:39 -- Drunk Driving; 2014-01-19 23:29 -- Theft; 
2014-01-19 10:37,Search,Latham, Tiffany,No record found.
2014-01-19 15:58,Search,Peterson, Cynthia,1978-01-06 00:48 -- Grand Theft Auto; 1983-06-12 19:47 -- Intent to Distribute; 1997-06-08 15:00 -- Intent to Distribute; 2004-02-09 04:26 -- Shoplifting; 2007-11-11 01:40 -- Vandalism; 
2014-01-19 18:10,Search,Boucher, Jesus,No record found.
#######,,,,
2014-01-20 22:31,New Entry,Morfin, Erick,2014-01-20 07:28 -- Theft; 2014-01-20 08:17 -- Theft; 2014-01-20 19:07 -- Possession; 
2014-01-20 16:01,Search,Graves, David,No record found.
#######,,,,
2014-01-21 11:31,New Entry,Mueller, Bethany,2014-01-21 01:36 -- Grand Theft Auto; 2014-01-21 06:47 -- Intent to Distribute; 2014-01-21 10:25 -- Arson; 
2014-01-21 23:49,New Entry,Bell, Robert,2014-01-21 23:31 -- Assault; 
2014-01-21 00:30,Search,Gale, Ulysses,No record found.
2014-01-21 00:40,Search,Turner, Olivia,1986-03-13 00:09 -- Intent to Distribute; 1986-06-12 08:18 -- Possession; 2004-02-04 06:35 -- Money Laundering; 2005-03-14 14:01 -- Grand Theft Auto; 
2014-01-21 19:27,Search,Downing, Alex,1981-08-10 08:10 -- Shoplifting; 1983-03-29 14:08 -- Arson; 1984-11-26 13:21 -- Grand Theft Auto; 2012-02-02 12:15 -- Shoplifting; 2012-06-29 19:26 -- Intent to Distribute; 
2014-01-21 22:40,Search,Bruce, Tennie,No record found.
2014-01-21 22:50,Search,Coleman, Abel,No record found.
#######,,,,
2014-01-22 14:42,New Entry,Forbes, Arlene,2014-01-22 11:23 -- Grand Theft Auto; 
2014-01-22 22:56,New Entry,Petty, Kathryn,2014-01-22 05:38 -- Theft; 2014-01-22 07:25 -- Money Laundering; 2014-01-22 15:43 -- Vandalism; 
2014-01-22 01:35,Search,Scott, Roy,1979-10-23 13:29 -- Grand Theft Auto; 1983-06-26 06:51 -- Drunk Driving; 1987-03-01 02:20 -- Assault; 1994-09-20 02:18 -- Arson; 1997-05-07 16:15 -- Shoplifting; 
2014-01-22 20:58,Search,Rainey, Jeffrey,No record found.
#######,,,,
2014-01-23 13:50,New Entry,Hunt, Cherie,2014-01-23 12:44 -- Drunk Driving; 
2014-01-23 17:07,New Entry,Torres, Phillip,2014-01-23 11:56 -- Grand Theft Auto; 2014-01-23 14:23 -- Theft; 
2014-01-23 23:16,New Entry,Cushman, Annette,2014-01-23 17:07 -- Identity Theft; 2014-01-23 23:06 -- Breaking and Entering; 
2014-01-23 04:38,Record Updated,Prater, Wanda,2014-01-23 04:38 -- Drunk Driving
2014-01-23 05:03,Search,Stone, Mary,No record found.
2014-01-23 07:05,Search,Overstreet, Ines,No record found.
2014-01-23 10:03,Search,Goff, Chance,No record found.
2014-01-23 10:06,Search,Hernandez, Valerie,1976-08-26 02:01 -- Identity Theft; 1989-03-21 03:52 -- Intent to Distribute; 1992-11-21 03:56 -- Intent to Distribute; 1999-09-06 10:56 -- Breaking and Entering; 2013-06-01 06:16 -- Money Laundering; 
2014-01-23 15:55,Search,Nielsen, Diane,1982-04-28 08:45 -- Intent to Distribute; 1986-05-14 19:51 -- Assault; 2000-08-20 03:15 -- Intent to Distribute; 2001-12-24 11:51 -- Shoplifting; 2005-03-03 12:04 -- Intent to Distribute; 
#######,,,,
2014-01-24 11:05,New Entry,Rivera, Francisco,2014-01-24 02:45 -- Breaking and Entering; 2014-01-24 02:48 -- Arson; 
2014-01-24 04:51,Search,Holland, Pauline,No record found.
2014-01-24 12:56,Search,Barone, Dorothy,No record found.
#######,,,,
2014-01-25 18:04,New Entry,Henderson, Carol,2014-01-25 03:55 -- Money Laundering; 2014-01-25 06:10 -- Breaking and Entering; 2014-01-25 11:05 -- Drunk Driving; 
2014-01-25 18:07,New Entry,Lopez, Nancy,2014-01-25 11:39 -- Theft; 
2014-01-25 02:31,Search,Schwandt, Kelly,No record found.
2014-01-25 03:57,Search,Castillo, William,No record found.
2014-01-25 11:22,Search,Moye, Jacquelyn,No record found.
2014-01-25 11:29,Search,Whitaker, Donald,1987-03-31 23:29 -- Assault; 1994-09-19 17:51 -- Possession; 1999-05-05 01:25 -- Vandalism; 2001-01-20 05:33 -- Identity Theft; 2001-03-09 17:18 -- Identity Theft; 
2014-01-25 12:51,Search,Lynde, Lily,No record found.
2014-01-25 13:15,Search,Rhyne, John,No record found.
2014-01-25 22:59,Record Updated,Webb, Marcia,2014-01-25 22:59 -- Tax Evasion
#######,,,,
2014-01-26 02:15,New Entry,Sumrall, Bill,2014-01-26 00:42 -- Drunk Driving; 2014-01-26 01:42 -- Possession; 2014-01-26 02:12 -- Grand Theft Auto; 
2014-01-26 11:56,New Entry,Donnelly, Arlen,2014-01-26 06:23 -- Identity Theft; 2014-01-26 11:18 -- Theft; 2014-01-26 11:21 -- Assault; 
2014-01-26 14:48,New Entry,Hernandez, Robert,2014-01-26 01:49 -- Theft; 
2014-01-26 03:15,Search,Stanhope, Joel,1983-03-29 05:02 -- Drunk Driving; 1987-02-10 11:57 -- Possession; 1995-10-02 14:09 -- Theft; 2001-03-24 19:37 -- Intent to Distribute; 2005-08-15 15:24 -- Arson; 
2014-01-26 11:57,Search,Phillips, Richard,No record found.
2014-01-26 13:29,Search,Bopp, Don,No record found.
2014-01-26 19:37,Record Deleted,Meeks, Larry,1992-05-09 01:34 -- Drunk Driving; 1993-02-08 08:19 -- Drunk Driving; 
#######,,,,
2014-01-27 11:28,New Entry,Nakagawa, Tad,2014-01-27 03:41 -- Theft; 2014-01-27 04:51 -- Possession; 2014-01-27 07:03 -- Grand Theft Auto; 
2014-01-27 20:37,New Entry,Moreno, David,2014-01-27 18:09 -- Arson; 
2014-01-27 04:42,Record Deleted,Carr, Michael,1981-12-18 16:51 -- Intent to Distribute; 1994-04-15 01:07 -- Shoplifting; 2004-01-16 15:44 -- Vandalism; 
2014-01-27 06:28,Search,Payne, Cecelia,1976-03-05 19:46 -- Shoplifting; 1994-01-25 18:16 -- Money Laundering; 2003-07-30 20:57 -- Assault; 2013-12-17 19:12 -- Assault; 
2014-01-27 06:41,Record Updated,Waugh, Raymond,2014-01-27 06:41 -- Assault
2014-01-27 06:47,Search,Anderson, Donna,No record found.
2014-01-27 07:00,Search,Jones, Franklin,No record found.
2014-01-27 09:32,Search,Hannah, Leo,No record found.
2014-01-27 10:24,Search,Sanchez, Janie,1990-09-29 19:37 -- Drunk Driving; 1995-12-27 17:27 -- Vandalism; 2001-02-08 01:03 -- Drunk Driving; 
2014-01-27 11:32,Record Updated,McMillan, Christopher,2014-01-27 11:32 -- Intent to Distribute
2014-01-27 14:33,Record Deleted,Cohen, Raymond,2014-01-17 07:49 -- Assault; 2014-01-17 10:32 -- Identity Theft; 
#######,,,,
2014-01-28 10:07,New Entry,Givens, Roy,2014-01-28 03:59 -- Intent to Distribute; 2014-01-28 06:06 -- Drunk Driving; 2014-01-28 06:16 -- Theft; 
2014-01-28 04:06,Record Deleted,McNeal, James,1978-08-24 19:44 -- Assault; 1980-10-03 03:28 -- Assault; 2004-03-15 21:51 -- Drunk Driving; 2011-10-22 13:33 -- Identity Theft; 
2014-01-28 05:33,Search,Patton, Martha,No record found.
2014-01-28 07:08,Search,Brake, Rene,1977-06-21 14:00 -- Grand Theft Auto; 1978-06-18 02:25 -- Shoplifting; 1979-01-29 14:00 -- Possession; 2011-11-06 00:37 -- Shoplifting; 
2014-01-28 07:31,Search,Adams, Emily,No record found.
2014-01-28 07:52,Search,Peterson, William,1979-08-02 16:24 -- Theft; 1990-05-07 20:35 -- Intent to Distribute; 2006-04-30 16:21 -- Vandalism; 
2014-01-28 11:11,Search,Niehaus, Shannon,No record found.
2014-01-28 13:43,Search,Turner, Jennifer,1980-12-09 03:16 -- Possession; 1985-01-18 10:36 -- Shoplifting; 1986-12-19 20:24 -- Shoplifting; 2003-02-09 20:01 -- Tax Evasion; 2005-05-08 03:30 -- Identity Theft; 
2014-01-28 21:06,Search,Gill, Kevin,No record found.
2014-01-28 21:43,Search,Grasso, Sara,No record found.
2014-01-28 21:46,Search,McNichols, Stephen,No record found.
#######,,,,
2014-01-29 07:49,New Entry,Murray, Lance,2014-01-29 01:55 -- Shoplifting; 2014-01-29 03:50 -- Drunk Driving; 2014-01-29 05:21 -- Shoplifting; 
2014-01-29 08:18,New Entry,Moore, Ian,2014-01-29 00:54 -- Drunk Driving; 2014-01-29 02:38 -- Drunk Driving; 
2014-01-29 13:49,New Entry,Bright, Susan,2014-01-29 06:02 -- Possession; 2014-01-29 07:51 -- Arson; 2014-01-29 08:32 -- Drunk Driving; 
2014-01-29 01:29,Search,Clifton, Frank,1985-01-01 08:48 -- Money Laundering; 1990-09-03 12:33 -- Possession; 1991-06-11 02:17 -- Grand Theft Auto; 2006-08-07 10:40 -- Theft; 2006-10-02 17:05 -- Theft; 
2014-01-29 01:34,Search,Miller, Kenneth,1997-08-07 15:59 -- Intent to Distribute; 2012-06-19 14:39 -- Possession; 2012-09-08 02:37 -- Breaking and Entering; 
2014-01-29 03:19,Search,Marshall, Catherine,No record found.
2014-01-29 08:51,Search,Hann, Neil,No record found.
2014-01-29 10:10,Search,Escoto, Eleanor,No record found.
2014-01-29 11:04,Search,Lindahl, James,No record found.
2014-01-29 13:57,Search,Nance, William,1976-07-13 07:18 -- Shoplifting; 1981-03-05 05:24 -- Money Laundering; 1982-02-02 03:24 -- Vandalism; 1983-08-17 06:54 -- Breaking and Entering; 1990-05-23 07:25 -- Identity Theft; 
2014-01-29 19:46,Search,Nelson, William,No record found.
#######,,,,
2014-01-30 17:13,New Entry,Goldstein, Jeffrey,2014-01-30 11:31 -- Vandalism; 
2014-01-30 13:45,Search,Jordan, Anthony,No record found.
#######,,,,
2014-01-31 04:21,New Entry,Williams, Tina,2014-01-31 00:34 -- Shoplifting; 2014-01-31 01:32 -- Identity Theft; 
2014-01-31 10:59,New Entry,Tracy, Ray,2014-01-31 06:24 -- Grand Theft Auto; 2014-01-31 07:23 -- Tax Evasion; 2014-01-31 09:49 -- Arson; 
2014-01-31 01:39,Search,Hargett, Susana,No record found.
2014-01-31 11:18,Record Deleted,Powell, Frances,1984-02-06 00:04 -- Money Laundering; 1993-05-14 07:49 -- Shoplifting; 2011-02-26 14:05 -- Vandalism; 2012-03-30 12:18 -- Intent to Distribute; 2012-07-10 16:26 -- Vandalism; 
2014-01-31 13:04,Search,Baca, Anthony,No record found.
2014-01-31 15:40,Search,Thompson, Sharon,No record found.
2014-01-31 18:31,Search,Otero, Blanche,No record found.
2014-01-31 21:19,Search,Thompson, Dennis,No record found.
#######,,,,
2014-02-01 11:37,New Entry,Johnson, Randall,2014-02-01 01:06 -- Money Laundering; 2014-02-01 07:47 -- Possession; 
2014-02-01 11:50,New Entry,Brown, Annie,2014-02-01 03:22 -- Tax Evasion; 2014-02-01 07:11 -- Arson; 2014-02-01 08:09 -- Identity Theft; 
2014-02-01 20:37,New Entry,Sanderson, Marion,2014-02-01 16:56 -- Identity Theft; 
2014-02-01 20:30,Search,Puckett, Vera,No record found.
2014-02-01 23:16,Search,Long, Sarah,2012-08-22 06:29 -- Assault; 
#######,,,,
2014-02-02 12:25,New Entry,Bushway, Jacob,2014-02-02 01:17 -- Drunk Driving; 2014-02-02 01:55 -- Vandalism; 
2014-02-02 21:49,New Entry,Dodds, Rose,2014-02-02 04:47 -- Vandalism; 
2014-02-02 23:50,New Entry,Funk, Edward,2014-02-02 01:17 -- Assault; 
2014-02-02 00:09,Search,Evans, Steven,No record found.
2014-02-02 00:51,Search,Brown, Brian,1980-11-14 17:07 -- Intent to Distribute; 1984-08-21 09:47 -- Money Laundering; 2009-12-16 23:03 -- Theft; 
2014-02-02 02:02,Record Updated,Rush, William,2014-02-02 02:02 -- Identity Theft
2014-02-02 02:04,Record Updated,Travis, Winnie,2014-02-02 02:04 -- Grand Theft Auto
2014-02-02 06:05,Search,Jones, Matthew,No record found.
2014-02-02 06:54,Search,Caballero, Ashley,1996-02-21 02:21 -- Breaking and Entering; 
2014-02-02 14:11,Search,Fierro, Shawn,No record found.
2014-02-02 16:34,Search,Mori, Sharon,No record found.
2014-02-02 18:58,Record Updated,Kawamura, Jose,2014-02-02 18:58 -- Breaking and Entering
2014-02-02 19:44,Search,Buller, Ivan,No record found.
#######,,,,
2014-02-03 01:07,New Entry,Aston, Heather,2014-02-03 00:22 -- Possession; 
2014-02-03 12:58,New Entry,Gaskin, Isaac,2014-02-03 06:54 -- Arson; 2014-02-03 09:37 -- Arson; 
2014-02-03 16:23,New Entry,Antonio, Vanessa,2014-02-03 04:41 -- Shoplifting; 2014-02-03 08:08 -- Drunk Driving; 2014-02-03 12:55 -- Tax Evasion; 
2014-02-03 00:17,Search,Huff, Diane,No record found.
2014-02-03 01:36,Search,Robertson, Lynette,1976-11-27 21:09 -- Shoplifting; 1978-09-08 15:05 -- Intent to Distribute; 2002-01-03 16:53 -- Money Laundering; 2004-01-10 14:13 -- Money Laundering; 2006-11-10 00:25 -- Assault; 
2014-02-03 01:38,Record Updated,George, Michael,2014-02-03 01:38 -- Arson
2014-02-03 04:25,Record Updated,Carson, Alonzo,2014-02-03 04:25 -- Intent to Distribute
2014-02-03 07:15,Search,Berg, James,No record found.
2014-02-03 16:07,Record Updated,Washington, Clara,2014-02-03 16:07 -- Drunk Driving
2014-02-03 16:46,Search,Morton, Desiree,No record found.
#######,,,,
2014-02-04 03:12,New Entry,Cope, Eloisa,2014-02-04 02:05 -- Grand Theft Auto; 2014-02-04 02:32 -- Intent to Distribute; 2014-02-04 02:40 -- Tax Evasion; 
2014-02-04 11:55,New Entry,Sanderlin, Joel,2014-02-04 03:24 -- Money Laundering; 2014-02-04 07:44 -- Money Laundering; 2014-02-04 11:34 -- Breaking and Entering; 
2014-02-04 03:03,Record Updated,Scott, Fannie,2014-02-04 03:03 -- Shoplifting
2014-02-04 03:04,Record Updated,Arnold, Jane,2014-02-04 03:04 -- Arson
2014-02-04 03:54,Search,Helms, Cheri,1980-02-14 01:36 -- Grand Theft Auto; 1981-11-29 02:12 -- Identity Theft; 2000-04-18 11:47 -- Breaking and Entering; 2003-01-23 07:23 -- Assault; 2013-11-24 09:56 -- Intent to Distribute; 
2014-02-04 07:53,Search,Chavis, Lucille,No record found.
2014-02-04 08:48,Search,Best, David,No record found.
2014-02-04 10:10,Search,Centeno, Joann,No record found.
2014-02-04 12:08,Search,Christofferse, Larry,No record found.
2014-02-04 19:59,Search,Hopwood, Shelia,1979-11-23 19:13 -- Drunk Driving; 1999-07-19 11:07 -- Assault; 2000-07-13 13:24 -- Breaking and Entering; 
2014-02-04 20:04,Record Deleted,Steiner, Jose,1991-11-07 22:29 -- Theft; 1995-01-05 11:38 -- Vandalism; 2002-02-25 01:48 -- Identity Theft; 2005-09-24 17:16 -- Grand Theft Auto; 2014-01-01 16:05 -- Breaking and Entering; 
#######,,,,
2014-02-05 02:21,New Entry,Cutler, Roy,2014-02-05 01:26 -- Shoplifting; 
